Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE
-122.1998174,37.73014286,25.39534962,12.8307139,0.7124323231,57.81716188,13.9139788,0.9685508906,13.46043777,20,61,0.9069767442,0.9482758621,0.8936170213,1,0,3,8.785080648,1.932819691,0.2435270613
-122.1998103,37.72921311,6.155172572,5.668160151,0.3236459986,12.17671325,8.085335346,0.498771031,4.738033056,16,61,0.9534883721,0.7075471698,0.7575757576,1,0,3,1.072098418,0.9194248082,0.06431841264
-122.1997901,37.72585957,6.800000323,7.950000286,0.4344035292,11.40701304,10.59320534,0.5338822565,9.517221451,13,59,0.9375,1.12,0.9743589744,2,0,3,1.860481719,1.748697584,0.1360925798
-122.1997648,37.73058984,8.823529831,15.69049978,0.590440764,13.20091081,15.90388064,0.7067619699,14.80313778,13,35,1,0.9956331878,0.9157894737,1,0,3,2.592382,3.789856405,0.1993056269
-122.1997508,37.72901558,6.487804669,5.885377245,0.2452006264,13.57202841,8.583427661,0.3406599754,1.671944261,14,57,0.6829268293,0.7075471698,0.6769230769,2,0,3,0.5853545503,0.2690212892,0.06281342838
-122.1997416,37.72567245,9.564428245,5.801314766,0.273043398,20.43599728,10.68184437,0.2298511318,9.735860348,11,29,1.19047619,0.9694656489,1,2,0,3,2.707510196,1.748568906,0.1068072382
-122.1996801,37.73039027,21.88516738,14.73299488,0.69930191,47.43720289,14.70204331,0.6355038364,13.81540442,20,63,0.9375,0.9482758621,0.9204927212,1,0,3,5.642882484,1.421554359,0.1169870688
-122.1996772,37.72896487,5.000000237,12.40399962,0.4030457408,9.988961324,11.05995711,0.411947468,8.670959949,16,55,1.470588235,2.153846154,1.291666667,1,0,3,0.8396016102,0.7290323698,0.1159237747
-122.1996583,37.72869909,5.33333338,12.49576204,0.5197185232,25.00927793,13.98024544,0.6962671871,13.08489323,13,34,0.8387096774,0.9956331878,0.9743589744,2,0,3,1.925235925,3.085349931,0.1486939624
-122.1996274,37.73083724,8.977272857,17.87119425,0.7281178349,12.21194605,16.10576725,0.7625839416,16.91493225,13,33,1.059701493,0.9956331878,0.9157894737,1,0,3,1.808395065,3.80085932,0.1206244503
-122.1995499,37.72879793,5.003773857,8.797914553,0.3612634912,23.61047869,11.10107962,0.6383219205,11.38208199,16,28,0.9069767442,0.9389312977,0.8936170213,2,0,3,1.742546851,1.512167706,0.103547299
-122.1995428,37.73063769,8.076922896,8.155617884,0.3088316558,20.53683884,10.15583739,0.2706259183,0,20,451,1.615384615,1.014285714,1.25,1,0,3,0.8525140573,0.4571338705,0.06165400905
-122.1994944,37.72572575,14.26967741,7.849607337,0.4515795862,18.82800775,11.77599691,0.5946541374,6.667199612,14,42,0.9375,1.152857143,1,2,0,3,3.87095116,3.024474551,0.1072791699
-122.1994916,37.72568032,22.68000059,7.568445206,0.2728971495,25.48774942,9.487275211,0.6441205565,9.517221451,10,14,1.015238095,0.9694656489,1,2,0,3,11.79126052,3.007382888,0.3710343093
-122.1994901,37.73108464,8.206896998,18.46500015,0.9024413705,10.54970592,17.73755546,0.871758346,17.12070942,13,27,1,0.9638554217,0.8828125,1,0,3,1.809118155,3.176451504,0.1294114547
-122.1994886,37.72874046,6.06369056,8.944619386,0.2612721165,16.37266552,11.69560209,0.0944298986,12.33637714,17,26,0.7724978974,0.9694656489,0.8936170213,2,0,3,1.838376949,1.650699302,0.2267039651
-122.1994513,37.72553126,3.174603104,14.63979039,0.3459577724,12.95429463,12.85751875,0.5340728277,3.871194124,10,25,0.3174603175,0.9956331878,0.7533333333,2,0,3,0.4103343342,0.8418694848,0.1334481649
-122.1994278,37.7285001,5.143472267,10.5505238,0.3916555667,11.83652987,13.50603322,0.4706041032,13.3421154,13,34,0.6829268293,0.9466802303,0.9743589744,2,0,3,2.193834901,3.689252315,0.07948327546
-122.1994055,37.7308851,13.60000065,12.83017261,0.4977876505,27.85970531,13.58688255,0.5144190149,14.10606575,20,62,0.9069767442,0.9482758621,0.9473684211,1,0,3,4.134725807,2.078062071,0.2109393541
-122.1993527,37.73133204,7.68181834,18.4773037,0.6203961456,11.80545169,15.83881808,0.6705521789,18.10329819,13,30,1.059701493,0.9956331878,0.9157894737,1,0,3,1.944956181,3.846642644,0.1767538007
-122.1993488,37.72591176,20.1315785,14.45168337,0.290227412,32.03185441,14.12377338,0.5276971654,0.09774443507,13,228,1.777777778,1.185714286,1.615384615,2,0,3,5.158557167,3.449431863,0.09528806793
-122.1993217,37.72859732,7.000000216,9.389017022,0.259004527,19.16411814,10.57229687,0.3472705617,12.54472685,16,43,1,0.9389312977,0.9468085106,2,0,3,1.345434578,0.9897557122,0.09429663109
-122.1992729,37.72576166,13.650794,7.782000303,0.49726277,29.37393856,10.70474874,0.4598574212,6.806099415,13,57,1.142857143,1.185714286,1.045454545,2,0,3,3.750442825,0.7399515087,0.1021771332
-122.1992682,37.73113251,16.90000035,11.76880869,0.4318474904,26.27495238,13.31318048,0.4117396757,13.79225445,20,62,1,0.9482758621,0.9743589744,1,0,3,5.11363166,1.147190156,0.154329435
-122.1992158,37.73157958,7.436781758,19.04457463,0.7416983334,17.39970162,17.34642372,0.7158252695,17.47053146,15,29,1,0.9797443047,0.9157894737,1,0,3,2.322144953,4.063268184,0.08611928665
-122.1992117,37.72557513,17.30769192,9.347499847,0.2573451069,25.00814094,11.28448353,0.3997942564,6.073016167,15,89,1.153846154,1.185714286,0.9333333333,2,0,3,3.152468546,0.700457368,0.110315267
-122.1991973,37.72830111,4.223354248,17.35799932,0.3920991551,7.097717171,14.23446214,0.3571279933,11.88366556,13,46,0.6829268293,0.9956331878,0.9743589744,2,0,3,1.312254768,3.287131579,0.1253431613
-122.1991688,37.72538043,9.655172198,9.848499775,0.3090431884,40.33378132,11.82538493,0.3826783025,13.2675209,12,25,1,0.9956331878,1,2,0,3,17.34739998,2.670900125,0.2289214329
-122.1991572,37.72613524,6.924418881,8.195518997,0.1331449747,19.79161672,11.91153923,0.1073381067,10.4586544,13,45,0.9069767442,1.12,1,2,0,3,3.705457534,2.458811834,0.1130934737
-122.1991308,37.73137992,15.95999949,9.477069378,0.2475499306,29.17072533,11.8677929,0.2106440343,10.0316658,20,62,0.9069767442,0.9482758621,0.9498746867,3,0,3,4.222197378,2.083762951,0.1193336369
-122.1990904,37.72839894,6.461538768,8.927934792,0.1743404753,8.38292504,10.02252408,0.08435154137,13.03602123,16,47,0.9534883721,0.9389312977,1,2,0,3,1.097060243,0.9437715246,0.08164486965
