,Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE,h3id_7,h3id_8,h3id_9,h3id_10,h3id_11
7597,-122.2669892,37.7975301,8.749999956,18.48936611,0.4702610537,20.32426197,21.22187789,0.5247072559,8.339143753,29,124,0.9411764706,1.0,1.0,2,0,2,1.4321597119999998,1.7916343319999999,0.09224302358999999,872830810ffffff,882830810dfffff,892830810d3ffff,8a2830810d2ffff,8b2830810d2dfff
7598,-122.2669885,37.81978818,22.0666671,19.34550219,0.5738701852,43.25391181,21.36389135,1.437431885,6.968149424,30,240,1.1875,1.133004926,1.0,2,0,2,1.896933779,0.8516789234000001,0.07240291413,872830813ffffff,882830813dfffff,892830813d3ffff,8a2830813d07fff,8b2830813d05fff
7599,-122.2669807,37.80869909,11.26829253,15.46523839,0.7436880382,28.14065056,20.65217572,1.013612593,4.984966278,27,164,1.0,1.085930736,1.0,2,0,2,1.194550033,0.5305387439,0.07740607388,872830810ffffff,8828308105fffff,89283081057ffff,8a283081054ffff,8b283081054bfff
7600,-122.2669801,37.82354852,12.96296267,18.19052267,1.416686521,16.25295349,19.41412575,1.259475429,22.07481003,17,18,0.9318181818000001,1.047832608,1.0,1,0,2,4.2676645419999995,3.005451725,0.3175032123,872830813ffffff,882830813dfffff,892830813c3ffff,8a2830813c07fff,8b2830813c01fff
7601,-122.2669727,37.80160188,6.485294317999999,15.124510699999998,0.46206326840000006,17.67610238,14.04054083,0.6217052007,8.586076736,24,115,0.9264705882,1.0,0.8734177215000001,3,0,2,0.42201438090000004,2.397438224,0.1001801065,872830810ffffff,882830810dfffff,892830810c3ffff,8a2830810c0ffff,8b2830810c0dfff
7602,-122.26695009999999,37.82264328,6.795454812999999,15.92766709,0.24582521559999998,11.12338302,15.45500236,0.2860451878,6.271077394,22,178,1.0,1.045454545,0.8461538462,2,0,2,0.6102300034,0.8364158298000001,0.06687790614,872830813ffffff,882830813dfffff,892830813c3ffff,8a2830813c27fff,8b2830813c23fff
7603,-122.26693359999999,37.81999189,13.02664628,16.10637118,0.5590814775999999,32.5718405,16.93215538,1.109098557,6.970721722,29,132,1.15625,1.062983026,1.0,3,0,2,2.280151828,0.8598135117,0.10470985449999999,872830813ffffff,882830813dfffff,892830813d3ffff,8a2830813d07fff,8b2830813d05fff
7604,-122.2669277,37.80264599,7.676470257999999,11.12250837,0.36112015280000004,14.53952953,13.55677288,0.40290004869999996,0.02572222054,35,805,0.8529411765,0.9615384615000001,0.72,2,0,2,0.3711179918,0.2597430554,0.03795536849,872830810ffffff,882830810dfffff,892830810c7ffff,8a2830810c57fff,8b2830810c56fff
7605,-122.26692690000002,37.80896606,8.400000259,14.44271391,0.47105854070000003,10.5272343,14.32824393,0.41999990600000003,7.876140594,16,69,0.8137254902,0.9107142856999999,1.0,2,0,2,2.136017365,1.232371452,0.1397623677,872830810ffffff,8828308105fffff,8928308100bffff,8a283081054ffff,8b2830810096fff
7606,-122.2669202,37.80403754,9.999999776000001,15.77592287,0.2810367328,15.52801747,17.33357054,0.3078483094,5.504554987000001,27,232,1.181818182,1.1,1.047619048,2,0,2,0.8800288192,0.6912843925,0.1095379898,872830810ffffff,882830810dfffff,892830810cfffff,8a2830810ceffff,8b2830810ce8fff
