,h3id_9,NO_Med,NO2_Med,BC_Med,city,polygon
10,8928309811bffff,6.835555753,12.89348281,0.45325580055000003,2,"POLYGON((37.73147833973727 -122.18978251517073, 37.73316059354333 -122.18870635971983, 37.73466935908758 -122.1899639923363, 37.73449584748055 -122.19229778009858, 37.73281359320444 -122.19337386669893, 37.73130485100513 -122.19211623439024))"
11,8928309812bffff,68.285396565,35.842156205,1.6113286035,2,"POLYGON((37.74053034458928 -122.19732862656197, 37.742212538823274 -122.1962525512079, 37.743721045155134 -122.19751034213736, 37.74354733391321 -122.19984420809142, 37.74186513922142 -122.2009202145682, 37.74035665622905 -122.19966242397082))"
12,8928309813bffff,9.271698262000001,13.62073963,0.4520560878,2,"POLYGON((37.73733956062397 -122.19714692191795, 37.73902178511581 -122.19607087537113, 37.74053034458928 -122.19732862656197, 37.74035665622905 -122.19966242397082, 37.73867443127887 -122.20073840164481, 37.737165895146966 -122.19948065078546))"
13,89283098143ffff,5.9400001165,9.520347238,0.38484012344999996,2,"POLYGON((37.73518963189523 -122.18296237429088, 37.736871824242364 -122.18188602351579, 37.73838063647223 -122.18314365671506, 37.73820723301259 -122.18547764040615, 37.73652504018538 -122.18655392233924, 37.735016251297594 -122.18529628942588))"
14,89283098147ffff,4.00000019,7.178066362,0.35128385310000004,2,"POLYGON((37.73652504018538 -122.18655392233924, 37.73820723301259 -122.18547764040615, 37.739715968775215 -122.18673531305245, 37.73954248836888 -122.18906926733706, 37.73786029506717 -122.19014548041935, 37.736351582645995 -122.18888780807048))"
15,8928309814bffff,8.300883231,10.648750445000001,0.48021826985,2,"POLYGON((37.73704515075457 -122.17955201043674, 37.73872731235198 -122.17847556199685, 37.74023614792254 -122.17973319547109, 37.74006279855472 -122.18206727711288, 37.73838063647223 -122.18314365671506, 37.736871824242364 -122.18188602351579))"
16,8928309814fffff,2.500000119,6.2280912545,0.36943672674999994,2,"POLYGON((37.73838063647223 -122.18314365671506, 37.74006279855472 -122.18206727711288, 37.74157155765738 -122.1833249500457, 37.74139813133722 -122.18565900229683, 37.739715968775215 -122.18673531305245, 37.73820723301259 -122.18547764040615))"
17,89283098153ffff,4.755639028000001,8.3267498015,0.44195581414999996,2,"POLYGON((37.731998543942964 -122.18278110277218, 37.73368076654567 -122.18170478082268, 37.73518963189523 -122.18296237429088, 37.735016251297594 -122.18529628942588, 37.73333402821426 -122.186372542538, 37.73182518620887 -122.18511494935512))"
18,89283098157ffff,4.00000019,9.015281931,0.35772609710000003,2,"POLYGON((37.73333402821426 -122.186372542538, 37.735016251297594 -122.18529628942588, 37.73652504018538 -122.18655392233924, 37.736351582645995 -122.18888780807048, 37.73466935908758 -122.1899639923363, 37.73316059354333 -122.18870635971983))"
19,8928309815bffff,3.4666668310000004,7.309297765,0.3077110178,2,"POLYGON((37.73385407020079 -122.17937083630243, 37.73553626206226 -122.17829441669423, 37.73704515075457 -122.17955201043674, 37.736871824242364 -122.18188602351579, 37.73518963189523 -122.18296237429088, 37.73368076654567 -122.18170478082268))"
20,89283098163ffff,9.1463835535,11.71574998,0.42140633810000006,2,"POLYGON((37.7410511476594 -122.19032697942077, 37.74273331069536 -122.18925073752055, 37.7442419168477 -122.19050848934157, 37.74406833662507 -122.19284248275584, 37.74238617312074 -122.1939186557918, 37.74087759030713 -122.19266090428039))"
21,89283098167ffff,15.45374914,17.101379555,0.63383924505,2,"POLYGON((37.74238617312074 -122.1939186557918, 37.74406833662507 -122.19284248275584, 37.745576866294996 -122.19410027400644, 37.745403209122244 -122.1964342379745, 37.743721045155134 -122.19751034213736, 37.742212538823274 -122.1962525512079))"
22,8928309816bffff,7.000000216,11.44431423,0.4637487666,2,"POLYGON((37.74290681396713 -122.18691671467857, 37.744588946254865 -122.18584037509898, 37.74609757574451 -122.18709812721866, 37.74592404960882 -122.18943221862195, 37.7442419168477 -122.19050848934157, 37.74273331069536 -122.18925073752055))"
23,8928309816fffff,9.1982154735,11.77402055,0.55990095315,2,"POLYGON((37.7442419168477 -122.19050848934157, 37.74592404960882 -122.18943221862195, 37.7474326026154 -122.19069001018276, 37.74725899952392 -122.19302407215567, 37.745576866294996 -122.19410027400644, 37.74406833662507 -122.19284248275584))"
24,89283098173ffff,7.363636512,11.4118271,0.5118127029,2,"POLYGON((37.73786029506717 -122.19014548041935, 37.73954248836888 -122.18906926733706, 37.7410511476594 -122.19032697942077, 37.74087759030713 -122.19266090428039, 37.73919539653649 -122.19373704850297, 37.737686760586755 -122.19247933672828))"
25,89283098177ffff,31.33219192,23.62350082,1.106134763,2,"POLYGON((37.73919539653649 -122.19373704850297, 37.74087759030713 -122.19266090428039, 37.74238617312074 -122.1939186557918, 37.742212538823274 -122.1962525512079, 37.74053034458928 -122.19732862656197, 37.73902178511581 -122.19607087537113))"
26,8928309817bffff,4.5394735825,8.6582481595,0.465647347,2,"POLYGON((37.739715968775215 -122.18673531305245, 37.74139813133722 -122.18565900229683, 37.74290681396713 -122.18691671467857, 37.74273331069536 -122.18925073752055, 37.7410511476594 -122.19032697942077, 37.73954248836888 -122.18906926733706))"
27,89283098183ffff,8.064777643500001,7.910187732,0.3989291952,2,"POLYGON((37.72457559110084 -122.19642021263526, 37.72625793653333 -122.19534428130261, 37.72776670849766 -122.19660187356385, 37.72759311167935 -122.19893539683139, 37.72591076578625 -122.20001125930963, 37.72440201717176 -122.19875366737743))"
