h3id_9,no_med,no2_med,bc_med,city,general_counta,node_counta,info_counta,highway_counta,natural_counta,place_counta,parking_counta,addr_street_counta,addr_housenumber_counta,amenity_counta,school_counta,restaurant_counta,place_of_worship_counta,shop_counta,name,parking,crossing
8928308130fffff,5.322580857,14.742030215,0.44667315814999997,1,92,13,43,3,0,0,0,1,1,1,0,1,0,0,4,0,0
892830813d3ffff,7.38068203,15.48030481,0.3158533814,1,176,18,96,5,0,0,1,2,3,4,0,1,0,5,14,1,0
8928309834bffff,2.843283607,7.9381087355,0.27028170845,2,76,5,48,3,0,0,0,0,0,2,1,0,1,0,4,0,0
89283098353ffff,2.797829117,7.159918356,0.2344928427,2,100,12,47,8,0,0,0,0,0,2,1,0,1,0,4,0,12
89283098373ffff,2.82792213,8.217264199999999,0.20981814040000002,2,176,21,42,20,0,0,0,0,0,0,0,0,0,0,4,0,16
89283098e5bffff,2.294863685,5.948999882000001,0.1566674196,2,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098ecbffff,3.428571458,7.232500076,0.3588811023,2,56,3,36,2,0,0,0,0,0,1,0,0,1,0,3,0,0
89283099c07ffff,2.400000021,8.60416929,0.3923122834,2,52,5,24,5,0,0,0,0,0,0,0,0,0,0,2,0,6
89283099dcbffff,0.9500000451,4.302500129,0.2181197984,2,66,11,15,10,0,0,0,0,0,0,0,0,0,0,0,0,2
8928308100bffff,11.260766835,17.966784715,0.60383647055,1,968,125,294,47,0,1,1,8,10,46,1,7,0,7,63,1,54
8928308103bffff,6.4364907395,14.14547959,0.43234570164999997,1,28,10,12,3,0,0,0,0,0,0,0,0,0,0,0,0,4
8928308104fffff,9.141552699999998,14.92666347,0.5091433797,1,260,49,74,38,0,0,0,3,3,7,0,1,0,1,11,0,48
89283081183ffff,8.9799998455,18.664800005,0.58117338875,1,138,20,74,8,0,0,0,0,0,3,0,2,2,1,12,0,0
89283081357ffff,8.129032329,16.02210477,0.286775291,1,280,41,79,28,0,0,0,0,0,4,0,1,0,0,10,0,24
8928308138bffff,3.4666668310000004,11.42400015,0.2613807102,1,38,15,7,4,0,0,0,0,0,0,0,0,0,0,0,0,8
892830981c3ffff,13.166666485,14.469249965,0.7640972145,2,28,9,16,2,0,0,0,0,0,0,0,0,0,0,0,0,2
8928309837bffff,3.923076975,6.387972767000001,0.21901230649999998,2,132,10,36,10,0,0,0,0,0,0,0,0,0,0,6,0,4
89283099c83ffff,38.057587940000005,23.436238845,0.7151700325999999,2,64,14,42,2,0,0,0,0,0,2,0,0,0,0,3,0,0
89283099c93ffff,26.03947386,20.46342904,0.6538116188,2,40,10,20,0,0,0,0,0,0,4,0,0,0,0,6,0,0
89283099d17ffff,10.10714272,9.999215742999999,0.39175137039999997,2,448,64,88,51,0,0,0,0,0,10,0,0,0,2,9,0,46
89283081033ffff,4.151078557,11.95949791,0.33324056825000004,1,148,29,29,29,0,0,0,0,0,0,0,0,0,0,3,0,36
89283081077ffff,15.956272049999999,19.66436171,0.5914686437000001,1,260,53,58,45,0,0,0,0,2,1,0,0,0,3,9,0,58
892830810cfffff,5.9627100265,14.301848135,0.40338829745000004,1,244,51,85,17,0,0,2,1,1,9,0,0,1,10,23,2,30
89283081383ffff,6.021550556,12.195559515,0.3867696023,1,248,45,59,31,0,0,0,0,2,2,0,1,0,0,9,0,36
8928308156bffff,14.47562971,20.06509914,0.7605596415000001,1,264,45,75,22,0,0,0,1,1,1,0,0,0,2,11,0,18
89283098027ffff,2.4342105469999997,5.609563975,0.2699940226,2,14,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
892830981bbffff,10.06451622,12.830713900000001,0.590440764,2,104,12,61,4,0,0,0,2,0,3,0,2,0,1,6,0,0
89283098e1bffff,6.35820901,9.281032285,0.44410076979999996,2,66,6,28,4,0,0,0,0,0,0,0,0,0,0,3,0,0
89283081003ffff,7.520000357000001,16.73580584,0.48225745560000005,1,482,97,135,56,0,0,2,7,12,23,0,8,0,8,32,2,82
892830810afffff,4.9999998880000005,12.08646112,0.396741158,1,176,18,72,12,0,0,0,3,3,3,1,0,2,0,8,0,10
89283081173ffff,18.39872693,20.773680974999998,0.9869209498,1,12,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
892830811bbffff,34.7777783,26.03376014,1.43391516,1,42,19,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
