,h3id_9,no_med,no2_med,bc_med,city,polygon,__index_level_0__
25,8928308107bffff,8.999999613,14.94699955,0.4794486021,1,"POLYGON((37.81236434993849 -122.26473483466403, 37.81404609645576 -122.26365956940457, 37.81555242578902 -122.26491866508529, 37.81537698530822 -122.26725302547874, 37.813695238441795 -122.26832822163297, 37.812188932405036 -122.26706912650158))",25
26,89283081083ffff,25.07923216,25.02523189,0.852058367,1,"POLYGON((37.79722771438807 -122.27441032329897, 37.79890964423168 -122.2733354377588, 37.80041606368889 -122.27459441234339, 37.800240529995364 -122.2769282718905, 37.79855859981605 -122.27800308832657, 37.79705220366566 -122.27674411432224))",26
27,89283081087ffff,15.703703685,20.719971909999998,0.71319412715,1,"POLYGON((37.79855859981605 -122.27800308832657, 37.800240529995364 -122.2769282718905, 37.801746872816146 -122.27818728569682, 37.80157126215111 -122.28052111535006, 37.79988933164162 -122.2815958626732, 37.79838301212701 -122.28033684945868))",27
28,8928308108bffff,12.63611085,18.598338045,0.49457377915,1,"POLYGON((37.79908510095289 -122.27100154833632, 37.8007670000957 -122.26992656497052, 37.802273442858386 -122.27118554012439, 37.802097963172464 -122.27351949807745, 37.80041606368889 -122.27459441234339, 37.79890964423168 -122.2733354377588))",28
29,8928308108fffff,6.857142562000001,14.84751934,0.4422101001,1,"POLYGON((37.80041606368889 -122.27459441234339, 37.802097963172464 -122.27351949807745, 37.803604329298025 -122.27477851246465, 37.80342877263491 -122.27711244053955, 37.801746872816146 -122.27818728569682, 37.800240529995364 -122.2769282718905))",29
30,89283081093ffff,7.080460106,14.55200005,0.5053434074,1,"POLYGON((37.79403928141214 -122.27422624533038, 37.79572124160672 -122.2731513885145, 37.79722771438807 -122.27441032329897, 37.79705220366566 -122.27674411432224, 37.79537024313479 -122.27781890203859, 37.793863793662354 -122.2765599678338))",30
31,89283081097ffff,6.093749863999999,12.70729469,0.4084989858,1,"POLYGON((37.79537024313479 -122.27781890203859, 37.79705220366566 -122.27674411432224, 37.79855859981605 -122.27800308832657, 37.79838301212701 -122.28033684945868, 37.79670105126543 -122.28141156806676, 37.7951946784233 -122.28015259465361))",31
32,8928308109bffff,23.39668777,24.62467741,0.8986142576,1,"POLYGON((37.79589667536172 -122.27081756761862, 37.79757860486401 -122.26974261298321, 37.79908510095289 -122.27100154833632, 37.79890964423168 -122.2733354377588, 37.79722771438807 -122.27441032329897, 37.79572124160672 -122.2731513885145))",32
33,892830810a3ffff,8.272727527999999,13.76537958,0.4885670344,1,"POLYGON((37.80307752833069 -122.2817801683684, 37.80475942847907 -122.28070539232864, 37.80626564131609 -122.28196448515337, 37.80608993070101 -122.28429835341647, 37.80440803022858 -122.28537306032993, 37.802901840694986 -122.28411396810921))",33
34,892830810a7ffff,7.000000216,13.3133657,0.5252481782,1,"POLYGON((37.80440803022858 -122.28537306032993, 37.80608993070101 -122.28429835341647, 37.80759606688661 -122.2855574854454, 37.807420279296764 -122.28789132377483, 37.80573837850586 -122.28896596155316, 37.80423226562299 -122.2877068301398))",34
