h3id_9,max_counta,avg_congested_prop,max_length,max_avg_speed,min_avg_speed,avg_speed,max_median_level,min_median_level,median_level,bool_highway,usual_road_type
8928308119bffff,2,241.29310344827587,1346,5.177777777777778,1.1888888888888889,3.2176005747126437,4,2,3,0,7
89283081303ffff,1,416.27358490566036,1455,5.538888888888889,1.0555555555555556,2.375104821802935,4,2,3,0,7
8928308152fffff,1,6198.0,7885,20.283333333333335,13.330555555555556,17.8875,2,1,1,1,3
8928309830bffff,1,244.71428571428572,331,2.5722222222222224,1.4583333333333333,1.9361111111111111,3,3,3,0,1
8928309832bffff,1,179.0,179,1.4027777777777777,1.4027777777777777,1.4027777777777777,2,2,2,0,1
8928308110bffff,2,433.31058020477815,994,7.7444444444444445,0.42777777777777776,2.883029958285931,4,2,4,0,4
892830811cfffff,3,63.50340136054422,989,4.205555555555556,0.0,0.1832482993197279,5,2,5,0,7
89283081143ffff,1,183.94,603,3.966666666666667,0.0,0.12566666666666665,5,2,5,0,7
89283081087ffff,2,2008.3261904761905,10032,18.419444444444444,0.875,9.535363756613755,4,1,2,1,3
8928308106fffff,4,83.19520547945206,1169,4.644444444444445,0.0,0.6497383942161339,5,2,5,0,2
8928308108bffff,5,76.05382488479263,1329,4.4944444444444445,0.0,1.9599890339648403,5,1,3,0,6
8928309831bffff,2,257.94545454545454,1448,6.897222222222222,0.2222222222222222,3.258901515151516,4,2,3,0,7
8928309839bffff,2,359.810502283105,1488,4.958333333333333,1.0055555555555555,2.090766108574327,4,2,4,0,7
892830812afffff,3,223.44809322033896,2362,18.52777777777778,0.9722222222222222,3.876490407250471,4,1,3,1,6
8928308152bffff,1,5039.0,5039,4.691666666666666,4.425,4.613333333333333,4,4,4,1,3
8928308114bffff,4,34.94318181818182,914,6.166666666666667,0.0,0.3240951178451179,5,2,5,0,1
89283099d57ffff,1,651.0,666,4.516666666666667,4.266666666666667,4.416269841269842,2,2,2,0,6
892830811cbffff,2,94.81481481481481,823,4.1305555555555555,0.0,0.757201646090535,5,2,5,0,2
89283081007ffff,7,54.28181959806824,1347,5.791666666666667,0.0,2.4916407742062052,5,2,3,1,4
89283098223ffff,1,385.82,1004,5.716666666666667,1.2083333333333333,2.8212222222222225,4,2,3,0,7
89283081103ffff,1,1187.1420765027322,1386,9.602777777777778,1.2583333333333333,3.648846387370976,4,2,4,0,4
89283098343ffff,2,408.86695278969955,2202,6.938888888888889,1.05,3.7442894611349553,4,2,3,0,7
89283098393ffff,2,205.00986842105263,1227,5.583333333333333,0.6972222222222222,2.0712079678362567,4,2,3,0,7
8928308131bffff,2,229.55722891566265,1198,6.016666666666667,0.8472222222222222,2.9423025435073624,4,2,3,0,2
89283099dc3ffff,1,347.75,716,3.3833333333333333,1.2472222222222222,1.8423611111111111,4,1,3,0,1
8928308111bffff,1,386.57142857142856,745,3.9027777777777777,0.4638888888888889,2.311970899470899,4,2,3,0,1
892830813b3ffff,1,182.95,201,1.4055555555555554,0.9166666666666666,1.2040277777777777,4,3,3,0,7
8928309832fffff,4,5.183434121312076,1421,1.9925925925925927,0.0,0.017281553933445996,5,5,5,0,2
892830983d7ffff,2,303.4417808219178,1623,5.377777777777778,1.0444444444444445,3.0062119482496192,4,2,3,0,6
892830813a3ffff,2,742.3371802869619,1548,12.772222222222222,0.9166666666666666,3.714961530463715,4,2,4,1,4
89283098323ffff,1,657.4418604651163,1247,5.558333333333334,0.9305555555555556,3.004780361757106,4,2,3,0,6
892830810a7ffff,1,494.2142857142857,995,5.091666666666667,1.9972222222222222,3.195238095238096,3,2,3,0,6
89283099d97ffff,1,257.1,345,1.8138888888888889,1.1527777777777777,1.3119444444444444,3,2,3,0,1
89283098567ffff,1,231.0,231,1.8888888888888888,1.7694444444444444,1.819047619047619,4,4,4,0,6
89283098027ffff,1,328.18,841,2.7444444444444445,0.48055555555555557,1.6543333333333334,4,2,3,0,1
89283081043ffff,7,61.001656314699794,1248,6.147222222222222,0.0,2.393012997469519,5,2,3,0,7
89283081077ffff,2,216.64601769911505,1708,8.997222222222222,0.5638888888888889,2.4226769911504427,4,2,3,1,6
89283098303ffff,1,396.63235294117646,928,5.35,1.1111111111111112,2.391380718954249,4,2,3,0,6
89283098337ffff,1,452.6666666666667,508,3.15,2.8444444444444446,3.0416666666666665,2,2,2,0,1
89283098ed7ffff,1,589.3026315789474,1620,8.466666666666667,1.5138888888888888,3.540277777777778,4,1,3,0,7
892830813dbffff,2,251.69927536231884,2093,7.663888888888889,1.1333333333333333,2.4212862318840584,4,1,3,1,1
8928308146bffff,2,1085.8098434004473,8320,19.966666666666665,0.3972222222222222,7.9296420581655465,4,1,3,1,3
89283081567ffff,1,1020.1538461538462,1809,11.416666666666666,2.311111111111111,5.508119658119657,3,2,3,1,2
89283099d1bffff,1,259.2914285714286,430,2.4611111111111112,0.7805555555555556,1.7306984126984126,4,3,4,0,7
89283099d9bffff,2,290.7361111111111,1817,6.411111111111111,0.9833333333333333,3.4116512345679,4,1,3,0,2
89283098563ffff,1,521.0,521,4.316666666666666,4.186111111111111,4.249444444444444,3,3,3,0,6
89283098387ffff,2,288.3255813953488,1648,6.227777777777778,0.9138888888888889,2.952853143841516,4,2,4,0,7
892830812abffff,1,430.2,2029,14.422222222222222,1.1944444444444444,2.7522222222222226,3,2,3,1,4
89283098edbffff,1,487.95238095238096,1014,5.372222222222222,1.6416666666666666,3.163492063492064,4,1,3,0,1
892830810a3ffff,1,302.5416666666667,679,3.35,1.1111111111111112,1.9401620370370372,4,3,3,0,2
89283099c03ffff,1,10613.75,14897,12.6,3.808333333333333,8.90625,4,2,3,1,3
89283081027ffff,1,583.5416666666666,879,5.375,2.0194444444444444,3.759259259259259,3,2,3,0,6
8928309814bffff,2,249.91294642857142,1290,7.783333333333333,1.2694444444444444,3.161563740079365,4,1,3,0,7
89283081317ffff,2,222.82291666666666,1542,5.608333333333333,0.9333333333333333,2.834278549382716,4,2,3,1,6
