Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE
-122.3043886,37.80627527,44.2609708,28.7245128,1.618057213,68.01139271,32.31037148,1.648444049,27.09578705,46,58,0.7235725309,0.9730290456,0.8294471154,1,1,1,3.218137299,1.793258378,0.1797043796
-122.3043877,37.8098162,40.16666642,27.16850618,1.405635743,76.35023525,28.49109061,1.945581609,29.70401955,48,61,1.226190476,1,1.08045977,1,1,1,6.87263258,2.424119708,0.2379689886
-122.3043515,37.80557298,88.96874869,44.65927899,2.406574445,140.5684098,48.86077472,4.332752722,21.03563118,23,65,1,1.157894737,1,1,0,1,19.5506464,3.701575301,0.5186526705
-122.3043507,37.81108874,30.66666673,25.12682938,1.322295552,39.43678976,25.71200605,1.596696545,27.9729147,47,62,0.71875,1,0.8307692308,1,1,1,3.212039381,1.76402645,0.254333518
-122.3043208,37.81008132,37.16666593,25.01781872,1.209791945,78.3116465,28.88915423,1.554763684,29.54968643,49,62,1.34057971,1,1.123330594,1,1,1,4.540613623,2.935110336,0.3271209457
-122.3043163,37.80706533,45.50000094,29.14484364,1.645000535,75.03312138,30.66278938,2.024225639,29.50853062,45,56,1.307692308,1,1.123330594,1,1,1,7.363241087,2.210265566,0.4253261119
-122.304262,37.80602426,44.41379319,28.7537178,2.095724207,71.59771952,31.87236123,2.07574542,27.73884201,47,60,0.7352941176,0.9456317854,0.8307692308,1,1,1,4.451248335,2.219628856,0.2647303146
-122.3042375,37.80765277,50.68965539,38.93268833,2.511297073,59.12619668,36.59286308,2.785587871,0,38,227,1.454545455,1.021052632,1.115275142,2,0,1,4.289822265,1.724834055,0.1592209451
-122.3042369,37.81034336,38.33333341,24.51882609,1.096451265,73.40310183,28.12512859,1.594154111,29.97153091,48,58,1.333333333,1,1.09069555,1,1,1,5.692272161,2.756530578,0.1987862092
-122.3042327,37.80904483,39.31250214,35.55183306,1.917437184,50.38803597,37.9433463,2.659769478,17.90780926,52,137,1,1.118226601,1,2,0,1,3.136185766,1.820066162,0.2214560264
-122.3042287,37.80680406,53.85714397,28.92017272,1.782778613,73.04381003,30.88378605,1.631061951,29.1895752,48,57,1.166666667,1,1.09069555,1,1,1,6.843257745,3.083793738,0.2535933598
-122.3042234,37.80931499,41.54838718,35.16221925,2.080656758,52.88581127,37.13744265,3.072121339,18.7952261,53,130,1,1.115788264,1,2,0,1,3.293825076,1.887375272,0.2295214574
-122.3042233,37.80877457,44.99999993,39.50121768,2.11477293,62.21960817,41.77961864,3.287781422,17.24674892,55,156,1,1.131672598,1,2,0,1,4.883583492,1.19762075,0.2261354537
-122.3042184,37.81133792,32.73682806,23.79802437,1.386007107,42.4754638,25.01106714,1.611281717,28.38704109,47,55,0.7235725309,0.9456317854,0.8307692308,1,1,1,3.104768898,2.342477104,0.2586043828
-122.3042039,37.80850463,49.26315754,40.44465111,2.299648366,66.52768062,44.23010637,3.361308429,15.11952114,53,171,1,1.118226601,1,2,0,1,5.813084595,1.552906857,0.2199019599
-122.3041929,37.80958421,35.46033568,34.82325231,1.96134532,43.33339776,36.98888632,2.423909966,19.07559776,45,115,1,1.135338346,1,2,0,1,3.153173281,1.972671698,0.2233223701
-122.3041846,37.80823468,54.46761207,41.43544076,2.592347327,75.95877138,45.09773951,3.178474448,8.863877296,57,339,1,1.109947644,1,2,0,1,2.95966612,1.667305671,0.1679617491
-122.3041778,37.8078361,75.85597822,48.68999458,2.937304618,96.10892208,48.72169972,4.299576728,8.529488564,74,226,1.067765568,1.11682243,1.105263158,2,0,1,5.680811645,1.37692122,0.1987616008
-122.3041703,37.80534402,107.2307722,46.47667808,3.30786705,136.2536596,56.9708703,5.74133649,19.75980949,23,61,1,1.180213191,1,1,0,1,19.86460063,4.205441852,0.880867925
-122.3041652,37.80796473,54.54545333,44.95363875,2.077121859,76.4975841,49.50768164,3.20884462,0.264938876,58,771,1,1.131672598,1,2,0,1,2.059766746,0.9599061727,0.1061391313
-122.304141,37.80985141,33.52941178,31.56091834,1.893278407,44.74925628,34.91016608,2.604175528,20.19194222,48,116,1,1.118226601,1,2,0,1,2.364919483,1.954175003,0.2094677746
-122.3041384,37.81060208,37.6666658,24.56288073,1.285161481,73.10615687,28.47225686,1.526114069,30.07699203,47,56,1.320512821,1,1.09069555,1,1,1,5.771951329,2.541079886,0.2081178651
-122.3041257,37.80577647,44.50404075,28.16652411,1.980927914,76.60989198,32.36019027,2.268551648,27.05463028,44,52,0.7352941176,1,0.8343035343,1,1,1,3.745810562,2.27923859,0.2107779865
-122.3041228,37.80654706,51.78571506,29.36464859,1.688312251,75.90709272,30.823355,2.206820156,29.03652811,48,60,1.307692308,1,1.08045977,1,1,1,6.512930759,2.370119778,0.2964870154
-122.3041111,37.80895547,53.06359086,38.00088183,1.601681662,83.81389418,38.76805047,2.558025299,17.82035446,58,109,1.073312236,1.204206999,1.095541401,2,0,1,6.814667145,1.920554729,0.2361181331
-122.3040982,37.80922548,59.02631581,35.10168114,2.008928177,90.34711434,37.38119005,2.677326182,18.75921535,55,119,1.073312236,1.212870254,1.112903226,2,0,1,6.017915255,1.998999182,0.2056484789
-122.3040942,37.80868545,59.00000036,36.78430607,2.093928207,97.10416201,38.80581261,2.565943973,16.84805489,56,119,1.054054054,1.138888889,1.092313218,2,0,1,8.635777695,1.642579082,0.2318633082
-122.3040885,37.80770543,52.43999869,44.72122977,2.324565403,101.596083,46.83380492,3.158344164,9.0027771,51,92,1,1.157894737,1.107843137,2,0,1,8.088579289,3.470577902,0.3960518693
-122.3040774,37.81158407,33.57377209,23.80937017,1.723866982,40.41275081,25.72127012,2.000383664,28.14010906,47,59,0.7352941176,1,0.8429695518,1,1,1,3.16488367,2.573568922,0.2851729936
-122.3040711,37.80841569,52.99999937,39.80662811,2.045047244,99.7197127,41.27841135,2.622686854,15.10923195,60,132,1.035714286,1.205882353,1.071428571,2,0,1,7.233749969,2.316834401,0.2696852136
-122.3040682,37.81011551,36.66666647,32.66924305,1.80896134,48.13597776,35.74200418,2.294700097,20.80670357,51,116,1,1.160791589,1.020833333,2,0,1,2.200930642,1.942700761,0.1928559661
-122.3040642,37.80949451,52.69696789,34.41146789,1.812219443,75.49077977,37.39873067,2.539071053,19.30195427,58,111,1.058672597,1.138888889,1.099854034,2,0,1,5.899818964,1.857315012,0.2209047609
-122.3040481,37.80814593,57.27272819,39.97934049,2.104131494,103.426773,41.43942913,2.904275433,12.92284298,60,149,1.054054054,1.138888889,1.104166667,2,0,1,4.649702888,2.012792357,0.2301792124
-122.3040354,37.80760645,36.12903257,34.70142749,1.675976197,90.48495835,39.09062839,2.502993714,5.33736062,49,229,1,1.026315789,1.041666667,2,0,1,4.068167037,1.626104069,0.2182924342
-122.3040305,37.81085849,35.57239117,26.06500053,1.430735052,67.63406593,29.26889139,1.514362747,29.92523003,49,61,1.226190476,1,1.088607595,1,1,1,6.047784825,2.688713073,0.2301338376
-122.304025,37.80787617,58.1052617,42.10787854,2.438289648,86.26243894,41.48340205,3.232149061,8.647810459,63,191,1,1.131672598,1.055555556,2,0,1,4.534156169,1.705699001,0.1915311523
-122.3040176,37.80712619,39.94623588,46.36899948,1.351555088,66.1996675,48.3971864,1.911387017,5.350221634,38,296,1.121212121,1.205882353,1,1,0,1,1.790532506,0.5116983582,0.1160262615
-122.3040165,37.80976212,49.45569569,33.96711794,1.715072036,70.91966976,36.00266772,2.157536391,19.95272636,56,114,1.086206897,1.177777778,1.105263158,2,0,1,5.104328154,2.537056125,0.2023973004
-122.3040145,37.80739656,29.32500006,35.61108609,1.052808238,46.09177361,37.45538621,1.598564982,0,38,761,1,1.135338346,1.041666667,1,0,1,0.801559677,0.4713843887,0.05446049584
-122.304007,37.80629284,52.6399982,29.1718401,1.346948729,78.95197749,31.4805823,1.486557427,29.49309731,46,56,1.347826087,1,1.09069555,1,1,1,5.639132571,2.653092969,0.1444956266
-122.303986,37.80685741,32.99999982,41.0924375,1.648694655,52.65224053,40.64590821,2.486045046,14.93946552,38,149,1.121212121,1.181818182,1.071428571,1,0,1,1.86338967,2.770609742,0.2208731499
-122.3039807,37.81037677,34.16129069,28.99751568,1.254168831,43.85986779,33.24020351,1.691768855,21.4163208,46,103,1,1.112350871,1,2,0,1,2.346555093,1.64970352,0.225575446
