h3id_9,BC,BC_diff,NO,NO_diff,NO$_2$,NO$_2$_diff
8928309811bffff,0.48146304,0.028207244331820647,29.052103,22.216547289602538,21.043894,8.150411004086914
89283081067ffff,0.4222521,0.0027353178851713955,6.6306143,0.6306142287006828,13.809459,-0.029541587395019775
8928308107bffff,0.4961867,0.016738101343527212,11.061057,2.0610574777592774,14.867081,-0.07991886152343675
8928308110fffff,0.7839277,0.023100068761889636,17.500261,5.5861262317626945,17.858856,1.339311966171877
89283098e43ffff,0.32755405,-0.00945761919230348,7.1896048,-0.8103953107836919,9.870997,0.23081858989404402
89283098e4fffff,0.33865672,-0.019019051800701903,7.0524187,-4.78091487119873,9.46809,-0.19957925362695406
89283099d53ffff,0.22301081,0.0427583384294464,5.379047,4.28380876996167,8.217322,2.8693222995483403
892830813abffff,0.4950015,-0.014348553415509002,7.9857,-4.557252869537354,16.964525,-1.80147488722168
89283099c3bffff,0.7813233,0.05996641151307369,31.532015,1.0607311068017573,23.210512,2.704948901254884
8928308102bffff,0.38546965,-0.014933708738235463,6.746294,-0.2537061943935548,12.387702,-2.037798091779786
89283081057ffff,0.48913732,0.004209073410586572,7.959897,-0.06510269367919896,14.823349,-0.022857670976563327
89283098317ffff,0.37013292,0.0094503427762207,4.288493,-0.13534193856689392,9.830485,1.9684252829331044
892830812a3ffff,0.34925663,0.005940605012219269,3.754468,-0.13742411282763678,11.038102,-0.1187050650366217
892830813c3ffff,0.6678135,0.0011606033003601635,17.032076,2.7453397119580067,18.785492,0.12673622835937692
89283081467ffff,0.39960137,-0.00740677755379332,6.57333,-0.6121808614628907,13.735009,0.00872036842040913
89283098167ffff,0.5905736,-0.04326563617472534,9.226654,-6.227095087265624,14.778164,-2.323215645087892
892830811c7ffff,0.40435696,-0.0012235011180664057,6.5469337,1.5469337629704585,10.796627,-0.5616818153222667
892830983cbffff,0.17328584,0.0437036454418335,6.99058,5.081489081939697,8.267666,1.4179678660371087
892830813a7ffff,0.40643096,-0.05218767564846194,6.0564814,-3.5184058896108397,11.982793,-5.177480920690918
89283099d4fffff,0.6864698,0.03691687551970213,43.040985,7.851794827421877,27.97692,4.550588234194336
89283099ca7ffff,0.3016994,0.009667284698120115,5.087852,3.8045186066901855,9.635783,3.6625456569956043
89283098117ffff,0.5014886,-0.004676275796734686,11.420738,1.711304146214843,12.06755,0.5421943905053723
892830810bbffff,0.60449076,-0.014306940111474598,12.550165,0.7080601763916015,17.28979,-0.3409113601708995
892830813d3ffff,0.3266089,0.010755514855493142,7.628809,0.24812694521972656,14.425289,-1.0550156559472654
89283081577ffff,1.624509,-0.047207789063659744,39.007393,-15.430106146699217,25.79782,-11.575030012426758
89283099dbbffff,0.34935844,0.004035964445495588,7.6400146,-2.4853587015625003,10.737942,-0.4003916480566403
89283081037ffff,0.411938,-0.017132777003729227,4.006444,0.1449054088559567,11.280829,-1.4430048753735356
8928308106bffff,0.3841501,0.004652762633404528,7.516004,0.7110449130407712,14.442268,-0.14350870341796806
8928309816fffff,0.50659657,-0.05330438790341796,4.9098806,-4.288334835377441,10.083229,-1.6907914850585932
892830810b7ffff,0.9115709,0.01016923763909916,23.380108,-3.7227981903613276,23.597149,-0.7083142847363284
89283081357ffff,0.3205594,0.03378412124098207,7.084704,-1.0443284067282708,14.891469,-1.130635768229979
8928308138fffff,0.35757956,0.022030456487753314,5.0460806,-0.5253480307055662,12.61704,0.7585588304809576
89283081edbffff,0.18082574,0.04544514369895325,5.892499,-1.6304696404682613,10.686172,2.203832989177247
89283099d8fffff,0.28497183,0.011075927979064981,4.7481575,0.7481573112207034,8.711734,0.9579786765542
89283099ca3ffff,0.25976402,-0.015132193325408938,1.8148398,1.0079770565353028,5.2459273,0.14829943683178648
89283098163ffff,0.4335504,0.012144049520925904,6.6710925,-2.475291043276611,10.573427,-1.1423227796826172
892830810cbffff,0.47467524,-0.01708574836752319,7.77674,-1.096499439842285,14.75764,-1.716639965051268
89283098333ffff,0.23994416,0.023935486234588632,2.6575012,-0.07054828729687479,6.22575,1.6176561819824222
8928308115bffff,0.4069882,0.0015731185255432045,4.437604,-0.39572927449951134,10.73492,-1.980027231965332
8928308116bffff,0.99243486,-0.006426897924182162,19.92025,0.6736612689648425,21.215752,1.2697776679492172
892830812a7ffff,0.36205953,-0.0005525981539611924,8.271893,0.7547856411074232,12.748503,0.2645399313232417
89283081333ffff,0.484144,-0.009741509700827045,9.679971,-7.320029778728028,18.329609,-3.657815342763673
892830813d7ffff,0.42417383,-0.06944517246030274,5.143209,-2.635046565439697,11.303623,-4.78080117053711
89283098197ffff,0.23389247,0.04851773739822082,7.3405304,2.545784851507812,8.801029,2.1843804153222655
892830981d7ffff,0.451403,-0.01875052818988343,6.4930596,-3.706940454837646,10.717825,-0.4766747940869145
892830813afffff,0.43279946,-0.005522312546276886,8.217884,-3.426681086279297,14.396429,-2.1010504931103497
892830813b7ffff,0.55848664,0.003881550353338592,8.048248,-0.24804839898437514,15.862406,-0.3988571330224602
89283098177ffff,1.063378,-0.04275678658245852,29.362581,-1.9696106669482418,23.302742,-0.32075881560546904
89283098187ffff,0.44149202,-0.018782437516168204,7.7821665,-0.9917568409819335,9.312389,0.741014328779297
89283081157ffff,0.53211653,-0.003644165174255365,11.241184,0.3374543746191403,16.272099,-0.23811724874023454
