,h3id_9,no_med,y - y_estimated
67,8928308130fffff,-4.62916238750395,-4.62916238750395
68,8928309834bffff,-7.10845963750395,-7.10845963750395
69,89283098353ffff,-7.15391412750395,-7.15391412750395
70,89283098e5bffff,-7.65687955950395,-7.65687955950395
71,89283099dcbffff,-9.00174319940395,-9.00174319940395
72,89283081097ffff,-3.8579933805039506,-3.8579933805039506
73,8928308110bffff,4.8511820604960505,4.8511820604960505
74,89283081143ffff,-1.5733992780039507,-1.5733992780039507
75,8928308117bffff,-2.64739535450395,-2.64739535450395
76,89283081183ffff,-0.9717433990039499,-0.9717433990039499
77,89283081357ffff,-1.8227109155039507,-1.8227109155039507
78,892830981c3ffff,3.2149232404960504,3.2149232404960504
79,89283099c83ffff,28.105844695496053,28.105844695496053
80,89283081063ffff,1.6352135154960497,1.6352135154960497
81,892830813afffff,1.69282190549605,1.69282190549605
82,8928309810bffff,45.14200862549605,45.14200862549605
83,89283081567ffff,-1.348084240503951,-1.348084240503951
84,8928308157bffff,25.048255975496048,25.048255975496048
85,89283098157ffff,-5.95174305450395,-5.95174305450395
86,89283098173ffff,-2.5881067325039497,-2.5881067325039497
87,89283098563ffff,0.09371184549605083,0.09371184549605083
88,89283099c2fffff,-4.25729892750395,-4.25729892750395
89,89283099d1bffff,-7.9365374645039495,-7.9365374645039495
90,8928308115bffff,-5.11841001950395,-5.11841001950395
91,892830812a7ffff,-2.4346363380039504,-2.4346363380039504
92,892830813abffff,2.5912097554960507,2.5912097554960507
93,8928308155bffff,-1.4707307755039505,-1.4707307755039505
94,8928309811bffff,-3.1161874915039496,-3.1161874915039496
95,89283099c27ffff,-7.957237674503951,-7.957237674503951
96,89283099c3bffff,20.519540495496052,20.519540495496052
97,89283099dd7ffff,-6.89618760200395,-6.89618760200395
98,8928308106bffff,-3.1467840720039497,-3.1467840720039497
99,8928308118bffff,-4.7572410575039505,-4.7572410575039505
100,89283098117ffff,-0.2423091705039493,-0.2423091705039493
101,89283099dbbffff,0.1736301054960503,0.1736301054960503
102,892830810b7ffff,17.15116282549605,17.15116282549605
103,8928308138fffff,-4.38031462450395,-4.38031462450395
104,8928309815bffff,-6.48507641350395,-6.48507641350395
105,89283099d8fffff,-5.95174305450395,-5.95174305450395
106,8928308114fffff,-2.66602889550395,-2.66602889550395
107,8928309833bffff,-5.71586280950395,-5.71586280950395
108,89283098397ffff,-5.95174305450395,-5.95174305450395
109,892830983bbffff,-6.90253686400395,-6.90253686400395
110,89283099d93ffff,-7.09460025150395,-7.09460025150395
111,89283081547ffff,0.5527612054960507,0.5527612054960507
112,89283081577ffff,44.485755785496046,44.485755785496046
113,8928308119bffff,-4.35174297850395,-4.35174297850395
114,89283098143ffff,-4.01174312800395,-4.01174312800395
115,8928309816fffff,-0.7535277710039505,-0.7535277710039505
116,89283098347ffff,-5.8153794805039505,-5.8153794805039505
117,892830983abffff,-6.60790762300395,-6.60790762300395
118,89283081087ffff,5.751960440496051,5.751960440496051
119,8928308114bffff,-4.109435654003949,-4.109435654003949
120,892830811cbffff,-5.97026185250395,-5.97026185250395
121,89283081317ffff,2.762036510496051,2.762036510496051
122,89283081387ffff,-6.36732748950395,-6.36732748950395
123,89283099db3ffff,1.40281824549605,1.40281824549605
124,8928308101bffff,-0.36435720750395006,-0.36435720750395006
125,89283081103ffff,4.763168955496051,4.763168955496051
126,89283098393ffff,-3.2506904105039496,-3.2506904105039496
127,89283099c03ffff,11.52538136549605,11.52538136549605
128,892830810dbffff,-1.8413536855039503,-1.8413536855039503
129,89283081117ffff,16.605075695496048,16.605075695496048
130,892830812b3ffff,-2.0474637525039503,-2.0474637525039503
131,89283081563ffff,11.914712535496053,11.914712535496053
132,89283098ed3ffff,2.9956252854960503,2.9956252854960503
133,892830813c7ffff,2.333117815496051,2.333117815496051
134,89283098147ffff,-5.95174305450395,-5.95174305450395
135,8928309836fffff,-7.0426521975039496,-7.0426521975039496
136,89283099d8bffff,-6.98788768250395,-6.98788768250395
137,89283081057ffff,-1.9267435095039502,-1.9267435095039502
138,892830811dbffff,-4.38402171000395,-4.38402171000395
139,892830812bbffff,-3.0145580700039503,-3.0145580700039503
140,892830813a7ffff,-0.37685599350395016,-0.37685599350395016
141,892830813c3ffff,4.334992925496051,4.334992925496051
142,89283098177ffff,21.380448675496048,21.380448675496048
143,89283098367ffff,-8.45174323150395,-8.45174323150395
144,892830983cbffff,-8.04265224450395,-8.04265224450395
145,89283081003ffff,-2.4317428875039493,-2.4317428875039493
146,892830810afffff,-4.9517433565039495,-4.9517433565039495
147,8928309812bffff,58.33365332049605,58.33365332049605
148,892830981d7ffff,0.24825684549604965,0.24825684549604965
149,89283098237ffff,-5.35999603650395,-5.35999603650395
150,89283099d0bffff,-7.68759219350395,-7.68759219350395
151,892830810a7ffff,-2.95174302850395,-2.95174302850395
152,89283081217ffff,15.114478915496052,15.114478915496052
153,89283081397ffff,-6.82233139350395,-6.82233139350395
154,89283098307ffff,-5.15174320250395,-5.15174320250395
155,89283098323ffff,-4.54773585800395,-4.54773585800395
156,8928309838bffff,-7.2675326945039505,-7.2675326945039505
157,892830983d7ffff,-4.40001893550395,-4.40001893550395
158,89283098567ffff,1.331590315496051,1.331590315496051
159,8928309856fffff,-2.68482581050395,-2.68482581050395
160,89283099c13ffff,24.198509960496047,24.198509960496047
161,89283081027ffff,-2.30468426350395,-2.30468426350395
162,8928308102fffff,-4.8591507655039505,-4.8591507655039505
163,8928308106fffff,-0.71364806650395,-0.71364806650395
164,8928309831bffff,-6.49395097350395,-6.49395097350395
165,89283099d03ffff,0.09542628849605173,0.09542628849605173
166,89283081007ffff,3.9209477004960487,3.9209477004960487
167,8928308131bffff,-5.95174305450395,-5.95174305450395
168,892830813b3ffff,-5.71314655150395,-5.71314655150395
169,89283098387ffff,-3.23174353350395,-3.23174353350395
170,89283099dc3ffff,-6.843769795503951,-6.843769795503951
171,8928308108bffff,2.6843676054960497,2.6843676054960497
