,h3id_9,y - y_estimated
158,89283099d4fffff,25.272022645415454
159,8928308106bffff,-7.1499782729175205
160,892830810dbffff,-3.775488607747345
161,89283081117ffff,14.829384524825969
162,8928308118bffff,-3.9186474191215996
163,892830812b3ffff,-2.6799409537730376
164,89283081563ffff,9.024513564078479
165,89283098117ffff,0.7998322123550619
166,89283098ed3ffff,3.576665790975298
167,89283099dbbffff,1.0926849433365682
168,8928308101bffff,-8.931649816716542
169,89283081067ffff,-3.3061177808319595
170,892830810c3ffff,0.9922870637431611
171,89283081103ffff,4.592824739717452
172,8928308110fffff,-9.185055158135729
173,8928308116bffff,8.20231260634938
174,89283081187ffff,30.48304176379753
175,89283081333ffff,4.071799114259321
176,89283098393ffff,0.9624493270839833
177,89283099c03ffff,12.584054024085257
178,89283081007ffff,1.1329511267353265
179,8928308115bffff,-4.202215060095797
180,892830812a7ffff,0.5394120561867304
181,8928308131bffff,-5.649669268141004
182,892830813abffff,-0.24108956939151582
183,892830813b3ffff,-7.375912473426768
184,8928308155bffff,-1.4704308391304863
185,8928309811bffff,-4.34622624245047
186,89283098387ffff,-2.05100020790643
187,89283099c27ffff,-9.080041974971985
188,89283099c3bffff,21.92037789464009
189,89283099dc3ffff,-4.918731684179304
190,89283099dd7ffff,-4.13566174478446
191,8928308107bffff,0.2337454510969028
192,892830812abffff,-0.23378642607611333
193,892830813cfffff,3.7169520456108085
194,89283098103ffff,-4.7329295972211
195,89283098183ffff,-3.1453005362391995
196,89283098333ffff,-8.861479344550764
197,89283098e9bffff,1.3271591797740037
198,89283098edbffff,-2.864100249679816
199,89283099d43ffff,-8.191181135032405
200,89283099d53ffff,-8.68726633114525
201,89283099d83ffff,-10.24431026142309
202,8928308102bffff,-1.5686425485189712
203,8928308108bffff,-3.335165500201253
204,89283081153ffff,-5.081827602978857
205,892830811c7ffff,-0.19964933321533085
206,892830812afffff,-2.6119852396864207
207,8928308139bffff,-8.267024965331961
208,89283098113ffff,-2.598672317565362
209,89283098187ffff,-1.9742045636328562
210,892830981cfffff,10.856649595088882
211,892830983b7ffff,-0.15741031943596262
212,892830983c3ffff,-6.220792352821662
213,89283099d47ffff,-6.406631733315967
214,89283099d57ffff,-9.07199877870441
215,89283081093ffff,2.2394359821807086
216,89283081147ffff,-5.797221812130233
217,89283098037ffff,-5.355724943874868
218,8928309814bffff,-1.0197192464116416
219,89283098357ffff,-5.648489606160094
220,8928309835bffff,-6.67074813863962
221,8928309839bffff,-5.119311100524222
222,89283098e57ffff,-3.1915071976005436
223,89283099c37ffff,-8.601087646100176
224,89283099ca7ffff,-7.506085727006223
225,89283099d5bffff,-5.021866965437516
226,8928308108fffff,0.45482668985660624
227,89283081313ffff,5.307891597333972
228,8928308146bffff,12.742332044453944
229,8928308146fffff,12.352003039842046
230,89283081ed3ffff,-12.57897488778766
231,8928309802fffff,-2.1926493242613976
232,89283098337ffff,-5.715159504998642
233,89283098e4bffff,-7.476156690516945
234,89283099cafffff,-6.126323314281832
235,89283099d9bffff,-0.6002905853380263
236,89283099dd3ffff,-1.172068046462312
237,892830810b3ffff,8.59968053816528
238,892830810c7ffff,3.336385870517206
239,892830810cbffff,-8.93204935683138
240,892830810d7ffff,7.052030467465378
241,89283081237ffff,28.32921977062542
242,8928308130bffff,-6.934734623177068
243,8928309814fffff,-8.306217435576727
244,89283098227ffff,-6.280040865569701
245,8928309838fffff,-6.7891399207035
246,892830983a3ffff,-6.122087270282549
247,89283098e43ffff,0.22606398347994272
248,89283098e4fffff,-0.9549862249289642
249,89283099ddbffff,-7.23805426555292
250,89283081057ffff,-6.467859668158129
251,892830811dbffff,-1.5322945074484968
252,892830812bbffff,-4.487229094973579
253,892830813a7ffff,-0.7137991111920456
254,892830813c3ffff,6.35680672720923
255,8928308152bffff,46.23739638706272
256,89283098177ffff,20.548196481332585
257,89283098367ffff,-7.822192254306301
258,892830983cbffff,-6.024395005527119
259,89283098e8bffff,3.7186293854376036
260,892830810a3ffff,-1.256453708726859
261,8928308111bffff,-5.290258220522448
262,892830813d7ffff,0.20303938995238902
263,89283098163ffff,-1.2324643535644473
264,89283098223ffff,-5.689075880217401
265,89283098343ffff,-0.23430981709054155
266,89283098363ffff,-4.089495218863606
267,89283099c97ffff,-8.33028162990921
268,89283081083ffff,14.211201686863724
269,8928308152fffff,42.51286801408528
270,8928308156fffff,1.3169167526039294
271,892830981cbffff,-7.473785514637392
272,8928309832bffff,-6.592761361085482
273,89283098383ffff,-6.440648059935101
274,89283099d73ffff,-0.08219801890800849
275,89283099dc7ffff,-4.7507097961798355
276,89283081023ffff,-4.328073389177143
277,892830810bbffff,-0.0027452006793087236
278,89283081113ffff,-2.069938018914134
279,89283081307ffff,-0.3676191039795569
280,89283081477ffff,-5.66851681361206
281,89283098153ffff,-3.6913134123196905
282,892830981dbffff,70.78984177223586
283,8928309830fffff,-3.0459803967115207
284,8928309834fffff,-6.317003248120644
285,892830983c7ffff,-3.178798864890382
286,8928309856bffff,-6.23647554392565
287,89283098ec3ffff,-1.2982708740756124
288,89283099c23ffff,-5.436542050939089
289,89283099d4bffff,23.163213049906364
290,89283099d7bffff,3.194726585580316
