,h3id_9,y - y_estimated
84,89283081063ffff,-0.5792662760412597
85,89283081193ffff,2.318175082866265
86,892830811c3ffff,-2.2621182322307645
87,892830813afffff,3.7643375242296955
88,89283081463ffff,-7.15505597731071
89,8928308154fffff,-3.9946247753784796
90,8928309810bffff,42.64572674499511
91,892830981d3ffff,-9.695897857973717
92,89283099d97ffff,-13.54175002328023
93,89283081013ffff,10.84860047075253
94,89283081047ffff,-1.8135537042996788
95,8928308109bffff,8.598382657998068
96,8928308118fffff,-2.513201098571529
97,892830811d7ffff,-4.673976970399879
98,89283081303ffff,1.5380870107494156
99,89283081edbffff,-1.3853518971611978
100,8928309818fffff,-3.9145427374949158
101,8928309830bffff,-8.654491632553846
102,89283099897ffff,22.42643522491174
103,89283099c33ffff,-7.274893926059095
104,89283099ca3ffff,-6.134457668130944
105,89283099dcfffff,-6.638589083102616
106,892830810a7ffff,-1.5673071820265463
107,892830810abffff,2.279941510846614
108,89283081217ffff,16.991227348705706
109,89283081397ffff,-16.552862536886764
110,89283098307ffff,-3.228741005682166
111,89283098323ffff,-2.777814534653908
112,8928309838bffff,-6.227847711103337
113,892830983d7ffff,-1.5127976268311425
114,89283098567ffff,1.78068983333727
115,8928309856fffff,-4.528998583514859
116,89283099c13ffff,26.327820069720985
117,89283081017ffff,-5.08698723781467
118,89283081043ffff,1.6637538948386243
119,89283081073ffff,1.1646644294095143
120,892830810d3ffff,0.2784625540160093
121,892830812b7ffff,-7.971091142847839
122,8928308154bffff,-5.521665272345897
123,8928309813bffff,0.4693130912006662
124,892830981c7ffff,0.4404460815761819
125,8928309822bffff,-5.607621886788221
126,89283098303ffff,-6.011959203260223
127,89283098377ffff,-12.348949398339546
128,89283098ed7ffff,6.447225500548859
129,89283099c8fffff,13.969413305798666
130,892830810b7ffff,21.347029714364034
131,8928308138fffff,3.0639462886127093
132,892830813c7ffff,2.7999296888312504
133,89283098147ffff,-4.351927499550584
134,8928309815bffff,-4.254272382528087
135,8928309836fffff,-5.143132368022425
136,89283099d8bffff,-7.120443691648348
137,89283099d8fffff,-1.4532169453602908
138,89283081087ffff,3.9816856311498245
139,8928308114bffff,-4.085060655420515
140,89283081157ffff,-0.4905250316458396
141,892830811cbffff,-3.8525675056366557
142,89283081317ffff,4.248470097408914
143,89283081387ffff,-9.725701387774338
144,89283081467ffff,-4.1689122183052785
145,8928309816bffff,-2.9694607036133913
146,8928309819bffff,-0.16876242197084323
147,89283098317ffff,-7.2309440680486
148,89283099d13ffff,-10.628843642112413
149,89283099d87ffff,-10.999254844632212
150,89283099db3ffff,1.3969120449094667
151,89283081027ffff,-0.6627124161814715
152,8928308102fffff,-8.646457142076748
153,8928308106fffff,-4.027304266238337
154,892830812a3ffff,-8.324644844331532
155,89283098167ffff,2.5302819740769955
156,8928309831bffff,-5.933092768209949
157,89283099d03ffff,2.25931891599979
158,89283099d4fffff,25.650612502538223
159,8928308106bffff,-5.935655637976398
160,892830810dbffff,-9.215732392971118
161,89283081117ffff,13.801935767734197
162,8928308118bffff,-3.245511639421716
163,892830812b3ffff,-4.359121491675646
164,89283081563ffff,7.411646550538695
165,89283098117ffff,1.6716128737936788
166,89283098ed3ffff,1.6727174576263728
167,89283099dbbffff,1.2357990779185357
168,8928308101bffff,-12.06043681941358
169,89283081067ffff,-2.6701827213019946
170,892830810c3ffff,-0.21315916609078922
171,89283081103ffff,5.060707907940905
