,h3id_9,no_med,OSM-SimpleLinearRegression-y_estimated,OSM-SimpleLinearRegression-diff,Waze-SimpleLinearRegression-y_estimated,Waze-SimpleLinearRegression-diff,Waze-SimpleGamma-y_estimated,Waze-SimpleGamma-diff,Waze-SimpleLinearRegression-transformed-y_estimated,Waze-SimpleLinearRegression-transformed-diff
15,8928308118fffff,6.987804872000001,9.50100597057153,-2.513201098571529,2.8757747146466386,4.112030157353362,4.7584592797696175,2.2293455922303833,1.7147912247807908,0.9286544190711874
16,89283099dcfffff,0.0,6.638589083102616,-6.638589083102616,-3.266280112742125,3.266280112742125,2.790065594178951,-2.790065594178951,0.9689847316172497,-0.9689847316172497
17,89283081053ffff,7.636363703,11.165939239213438,-3.5295755362134384,9.824164624941162,-2.187800921941162,8.138028273267208,-0.5016645702672085,3.0116172674365083,-0.24822013654851371
18,8928309834bffff,2.843283607,4.6731206740571505,-1.8298370670571504,4.960445413361647,-2.117161806361647,6.582480943926854,-3.7391973369268543,2.5074772215596988,-0.8212733172230968
19,89283098353ffff,2.797829117,5.11979381092857,-2.32196469392857,6.468563158858252,-3.6707340418582524,6.654245278222014,-3.856416161222014,2.449757949300616,-0.7770866973805022
20,89283098e5bffff,2.294863685,12.154922880795974,-9.860059195795973,7.295779870940468,-5.000916185940468,7.135745606753408,-4.840881921753408,2.5614008912190673,-1.0465201417869543
21,8928308130fffff,5.322580857,11.440266585471567,-6.117685728471567,6.586111219787014,-1.263530362787014,7.128466821241134,-1.805885964241134,2.39405141452164,-0.08697949171559083
22,89283099dcbffff,0.9500000451,10.159088467278995,-9.209088422178995,7.26760177734721,-6.317601732247209,6.7418691770392,-5.791869131939199,2.4311583448521836,-1.4564788872354757
23,89283081007ffff,13.872690945,12.005335994012755,1.8673549509872451,19.429810325998517,-5.557119380998516,14.774319584909273,-0.9016286399092728,4.158186823523868,-0.43358067723135063
24,89283098387ffff,6.719999711,7.822433135279014,-1.1024334242790141,6.309359726164669,0.41063998483533126,6.884781512238119,-0.16478180123811903,2.5578032022626833,0.03449302135837495
