,h3id_9,no_med,y - y_estimated
45,892830812a3ffff,-6.1871499828703325,-6.1871499828703325
46,89283098167ffff,5.374707080129667,5.374707080129667
47,89283099d4fffff,25.110148220129666,25.110148220129666
48,89283081033ffff,-5.927963502870332,-5.927963502870332
49,89283081383ffff,-4.057491503870332,-4.057491503870332
50,892830981bbffff,-0.014525839870332291,-0.014525839870332291
51,89283098e1bffff,-3.7208330498703317,-3.7208330498703317
52,89283081393ffff,-3.9040164805930733,-3.9040164805930733
53,892830813bbffff,-2.2680325995302892,-2.2680325995302892
54,89283081073ffff,0.9967157501296668,0.9967157501296668
55,8928309813bffff,-0.8073437978703311,-0.8073437978703311
56,892830981c7ffff,1.6628937901296688,1.6628937901296688
57,89283081077ffff,5.877229990129667,5.877229990129667
58,892830810cfffff,-3.738378047231704,-3.738378047231704
59,8928308156bffff,4.396587650129668,4.396587650129668
60,89283098027ffff,-7.644831512870333,-7.644831512870333
61,89283081173ffff,8.319684870129667,8.319684870129667
62,892830811bbffff,24.69873624012967,24.69873624012967
63,892830813a3ffff,5.150843220129667,5.150843220129667
64,8928309832fffff,-4.450359703870332,-4.450359703870332
65,892830983b3ffff,-7.021472684870332,-7.021472684870332
66,89283081053ffff,-2.4426783568703323,-2.4426783568703323
67,8928308130fffff,-4.756461202870332,-4.756461202870332
68,8928309834bffff,-6.31170557453029,-6.31170557453029
69,89283098353ffff,-6.35716006453029,-6.35716006453029
70,89283098e5bffff,-7.784178374870332,-7.784178374870332
71,89283099dcbffff,-9.129042014770333,-9.129042014770333
72,89283081097ffff,-3.9852921958703327,-3.9852921958703327
73,8928308110bffff,4.723883245129668,4.723883245129668
74,89283081143ffff,-1.7006980933703328,-1.7006980933703328
75,8928308117bffff,-2.7746941698703322,-2.7746941698703322
76,89283081183ffff,-0.34313424209307364,-0.34313424209307364
77,89283081357ffff,-1.9500097308703328,-1.9500097308703328
78,892830981c3ffff,3.0876244251296683,3.0876244251296683
79,89283099c83ffff,27.978545880129673,27.978545880129673
80,89283081063ffff,1.5079147001296676,1.5079147001296676
81,892830813afffff,1.565523090129668,1.565523090129668
82,8928309810bffff,45.014709810129666,45.014709810129666
83,89283081567ffff,-1.4753830558703331,-1.4753830558703331
84,8928308157bffff,24.920957160129667,24.920957160129667
85,89283098157ffff,-6.079041869870332,-6.079041869870332
86,89283098173ffff,-2.715405547870332,-2.715405547870332
87,89283098563ffff,-0.033586969870331274,-0.033586969870331274
88,89283099c2fffff,-4.384597742870332,-4.384597742870332
89,89283099d1bffff,-8.063836279870332,-8.063836279870332
90,8928308115bffff,-5.2457088348703325,-5.2457088348703325
91,892830812a7ffff,-2.0158362611689205,-2.0158362611689205
92,892830813abffff,2.4639109401296686,2.4639109401296686
93,8928308155bffff,-1.5980295908703326,-1.5980295908703326
94,8928309811bffff,-3.2434863068703317,-3.2434863068703317
95,89283099c27ffff,-8.084536489870333,-8.084536489870333
96,89283099c3bffff,20.39224168012967,20.39224168012967
97,89283099dd7ffff,-6.645532431231704,-6.645532431231704
98,8928308106bffff,-3.274082887370332,-3.274082887370332
99,8928308118bffff,-4.884539872870333,-4.884539872870333
100,89283098117ffff,-0.3696079858703314,-0.3696079858703314
101,89283099dbbffff,0.04633129012966819,0.04633129012966819
102,892830810b7ffff,18.157725968545556,18.157725968545556
103,8928308138fffff,-2.9957974953158155,-2.9957974953158155
104,8928309815bffff,-5.856467256593073,-5.856467256593073
105,89283099d8fffff,-6.079041869870332,-6.079041869870332
106,8928308114fffff,-2.793327710870332,-2.793327710870332
107,8928309833bffff,-5.843161624870332,-5.843161624870332
108,89283098397ffff,-6.079041869870332,-6.079041869870332
109,892830983bbffff,-7.029835679370332,-7.029835679370332
110,89283099d93ffff,-6.29784618853029,-6.29784618853029
111,89283081547ffff,0.4254623901296686,0.4254623901296686
112,89283081577ffff,44.358456970129666,44.358456970129666
113,8928308119bffff,-4.1010878077317034,-4.1010878077317034
114,89283098143ffff,-3.7610879572317035,-3.7610879572317035
115,8928309816fffff,-0.8808265863703326,-0.8808265863703326
116,89283098347ffff,-5.942678295870333,-5.942678295870333
117,892830983abffff,-6.735206438370332,-6.735206438370332
118,89283081087ffff,5.624661625129669,5.624661625129669
119,8928308114bffff,-4.236734469370331,-4.236734469370331
120,892830811cbffff,-5.719606681731704,-5.719606681731704
121,89283081317ffff,3.558790573469711,3.558790573469711
122,89283081387ffff,-6.494626304870332,-6.494626304870332
123,89283099db3ffff,1.275519430129668,1.275519430129668
124,8928308101bffff,0.05444286933107989,0.05444286933107989
125,89283081103ffff,4.6358701401296685,4.6358701401296685
126,89283098393ffff,-2.8318903336689196,-2.8318903336689196
127,89283099c03ffff,11.398082550129669,11.398082550129669
128,892830810dbffff,-1.9686525008703324,-1.9686525008703324
129,89283081117ffff,16.477776880129667,16.477776880129667
130,892830812b3ffff,-2.1747625678703324,-2.1747625678703324
131,89283081563ffff,11.78741372012967,11.78741372012967
132,89283098ed3ffff,2.8683264701296682,2.8683264701296682
133,892830813c7ffff,2.2058190001296687,2.2058190001296687
134,89283098147ffff,-6.079041869870332,-6.079041869870332
135,8928309836fffff,-7.169951012870332,-7.169951012870332
136,89283099d8bffff,-7.115186497870332,-7.115186497870332
137,89283081057ffff,-2.0540423248703323,-2.0540423248703323
138,892830811dbffff,-3.7554125530930733,-3.7554125530930733
139,892830812bbffff,-3.1418568853703324,-3.1418568853703324
140,892830813a7ffff,-0.5041548088703323,-0.5041548088703323
141,892830813c3ffff,4.207694110129669,4.207694110129669
142,89283098177ffff,21.253149860129668,21.253149860129668
143,89283098367ffff,-8.579042046870331,-8.579042046870331
144,892830983cbffff,-8.169951059870332,-8.169951059870332
145,89283081003ffff,-2.5590417028703314,-2.5590417028703314
146,892830810afffff,-3.777035307391661,-3.777035307391661
147,8928309812bffff,58.20635450512967,58.20635450512967
148,892830981d7ffff,0.12095803012966755,0.12095803012966755
149,89283098237ffff,-5.487294851870332,-5.487294851870332
150,89283099d0bffff,-7.814891008870332,-7.814891008870332
151,892830810a7ffff,-3.079041843870332,-3.079041843870332
152,89283081217ffff,14.98718010012967,14.98718010012967
153,89283081397ffff,-6.949630208870332,-6.949630208870332
154,89283098307ffff,-5.279042017870332,-5.279042017870332
155,89283098323ffff,-4.297080687231704,-4.297080687231704
156,8928309838bffff,-7.016877523731704,-7.016877523731704
157,892830983d7ffff,-4.527317750870332,-4.527317750870332
158,89283098567ffff,1.2042915001296688,1.2042915001296688
159,8928309856fffff,-2.8121246258703323,-2.8121246258703323
160,89283099c13ffff,24.071211145129666,24.071211145129666
161,89283081027ffff,-2.4319830788703323,-2.4319830788703323
162,8928308102fffff,-4.230541608593074,-4.230541608593074
163,8928308106fffff,-0.8409468818703321,-0.8409468818703321
164,8928309831bffff,-6.621249788870332,-6.621249788870332
165,89283099d03ffff,-0.031872526870330375,-0.031872526870330375
166,89283081007ffff,3.7936488851296666,3.7936488851296666
167,8928308131bffff,-6.079041869870332,-6.079041869870332
168,892830813b3ffff,-5.840445366870332,-5.840445366870332
169,89283098387ffff,-3.3590423488703323,-3.3590423488703323
170,89283099dc3ffff,-6.971068610870333,-6.971068610870333
171,8928308108bffff,3.312976762406926,3.312976762406926
172,892830812afffff,-2.0790416798703326,-2.0790416798703326
173,89283099d47ffff,-8.125553594870333,-8.125553594870333
174,89283099d57ffff,-8.930827735720332,-8.930827735720332
175,892830812abffff,-0.32904197487033215,-0.32904197487033215
176,892830813cfffff,2.198912296268297,2.198912296268297
177,89283098edbffff,-5.129659284731704,-5.129659284731704
178,89283099d43ffff,-8.726020033870332,-8.726020033870332
179,89283081193ffff,1.4614119212682972,1.4614119212682972
180,892830811c3ffff,-4.752858619870332,-4.752858619870332
181,89283081463ffff,-1.9312463908703315,-1.9312463908703315
182,8928308154fffff,-0.03355057637033099,-0.03355057637033099
183,892830981d3ffff,-6.5234863358703326,-6.5234863358703326
184,89283099d97ffff,-8.465006895870332,-8.465006895870332
185,8928308100fffff,-1.364461316870333,-1.364461316870333
186,8928308142fffff,-7.048234096870332,-7.048234096870332
187,89283098313ffff,-0.756643922731703,-0.756643922731703
188,8928308108fffff,-3.2218994978703313,-3.2218994978703313
189,89283081313ffff,4.641151687406927,4.641151687406927
190,8928308146bffff,12.22864975012967,12.22864975012967
191,8928309802fffff,-1.8252542828703326,-1.8252542828703326
192,89283098337ffff,-6.650470601870332,-6.650470601870332
193,89283099cafffff,-7.910367341870332,-7.910367341870332
194,89283099d9bffff,-5.15498899153029,-5.15498899153029
195,89283099dd3ffff,-5.883395972467506,-5.883395972467506
196,89283081083ffff,15.000190100129668,15.000190100129668
197,8928308156fffff,-0.9942871958703314,-0.9942871958703314
198,892830981cbffff,-6.079041869870332,-6.079041869870332
199,89283098383ffff,-5.4644049253703315,-5.4644049253703315
200,89283099d73ffff,-3.701088021731703,-3.701088021731703
201,89283099dc7ffff,-7.618892598870332,-7.618892598870332
202,89283081023ffff,-5.369951017870332,-5.369951017870332
203,89283081307ffff,-2.072520468870332,-2.072520468870332
204,89283098153ffff,-5.323403031870331,-5.323403031870331
205,892830981dbffff,71.82127805012966,71.82127805012966
206,8928309830fffff,-6.595861336593074,-6.595861336593074
207,8928309834fffff,-7.169951012870332,-7.169951012870332
208,892830983c7ffff,-7.24589818153029,-7.24589818153029
209,8928309856bffff,-4.745708472870332,-4.745708472870332
210,89283098ec3ffff,-3.5190417478703315,-3.5190417478703315
211,89283099d4bffff,24.033862520129667,24.033862520129667
212,89283099d7bffff,2.985993080129667,2.985993080129667
213,89283081157ffff,0.8246878001296682,0.8246878001296682
214,89283081467ffff,-2.893531272870332,-2.893531272870332
215,8928309816bffff,-3.079041843870332,-3.079041843870332
216,8928309819bffff,0.12095803012966755,0.12095803012966755
217,89283098317ffff,-5.655206964870333,-5.655206964870333
218,89283099d13ffff,-7.627510296870332,-7.627510296870332
219,89283099d87ffff,-8.143056308870332,-8.143056308870332
220,89283081067ffff,-4.079042007870331,-4.079042007870331
221,892830810c3ffff,-2.1721833551689205,-2.1721833551689205
222,8928308110fffff,1.8350930151296687,1.8350930151296687
223,8928308116bffff,9.16754661012967,9.16754661012967
224,89283081187ffff,30.85277539512967,30.85277539512967
225,89283081333ffff,6.920958460129668,6.920958460129668
226,89283081017ffff,-1.9361846878703322,-1.9361846878703322
227,89283081043ffff,2.4515469701296677,2.4515469701296677
228,892830810d3ffff,-0.37746348973170285,-0.37746348973170285
229,892830812b7ffff,-2.096283214870332,-2.096283214870332
230,8928308154bffff,-1.7231094028703318,-1.7231094028703318
231,8928309822bffff,-5.952336376370331,-5.952336376370331
232,89283098303ffff,-6.626164315593074,-6.626164315593074
233,89283098377ffff,-8.463657367870333,-8.463657367870333
234,89283098ed7ffff,6.016196370129666,6.016196370129666
235,89283099c8fffff,11.670957310129669,11.670957310129669
236,8928308102bffff,-2.7010878577317037,-2.7010878577317037
237,89283081153ffff,-2.6839440718703322,-2.6839440718703322
238,892830811c7ffff,-4.1549892935302895,-4.1549892935302895
239,8928308139bffff,-6.466138662870332,-6.466138662870332
240,89283098113ffff,-5.969451004668921,-5.969451004668921
241,89283098187ffff,-1.3051187378703322,-1.3051187378703322
242,892830981cfffff,11.502826630129668,11.502826630129668
243,892830983b7ffff,-0.5790423648703324,-0.5790423648703324
244,892830983c3ffff,-8.079041964870331,-8.079041964870331
245,8928308107bffff,-1.0790424468703321,-1.0790424468703321
246,89283098103ffff,-7.221899325870332,-7.221899325870332
247,89283098183ffff,-2.014264416370331,-2.014264416370331
248,89283098333ffff,-7.350992551870332,-7.350992551870332
249,89283098e9bffff,0.619371000129668,0.619371000129668
250,89283099d53ffff,-8.983803912870332,-8.983803912870332
251,89283099d83ffff,-8.949412376870331,-8.949412376870331
252,8928308100bffff,1.72782366733108,1.72782366733108
253,8928308103bffff,-3.642551320370332,-3.642551320370332
254,8928308104fffff,-0.9374893598703338,-0.9374893598703338
255,8928308138bffff,-6.612375228870332,-6.612375228870332
256,8928309837bffff,-6.155965084870332,-6.155965084870332
257,89283099c93ffff,15.960431800129669,15.960431800129669
258,89283099d17ffff,0.028100660129668498,0.028100660129668498
259,892830810b3ffff,8.888699620129668,8.888699620129668
260,892830810d7ffff,3.1245178490111645,3.1245178490111645
261,89283081237ffff,28.143179805129662,28.143179805129662
262,89283081147ffff,-3.429420559870332,-3.429420559870332
263,89283098037ffff,-5.644597578870332,-5.644597578870332
264,8928309814bffff,-1.7781588288703318,-1.7781588288703318
265,8928309835bffff,-8.364756263870332,-8.364756263870332
266,8928309839bffff,-6.012691197370332,-6.012691197370332
267,89283098e57ffff,-5.279041831870332,-5.279041831870332
268,89283099d5bffff,-7.079042033870332,-7.079042033870332
269,89283081013ffff,1.0748038401296682,1.0748038401296682
270,89283081047ffff,0.18739499733108111,0.18739499733108111
271,8928308109bffff,13.317645710129668,13.317645710129668
272,8928308118fffff,-3.0912371878703313,-3.0912371878703313
273,892830811d7ffff,-5.166777794731704,-5.166777794731704
274,8928309818fffff,-3.0234862273703325,-3.0234862273703325
275,89283099897ffff,18.72929168012967,18.72929168012967
276,89283099dcfffff,-9.53294316766892,-9.53294316766892
277,89283081093ffff,-2.9985819538703318,-2.9985819538703318
278,89283098357ffff,-6.699731610870332,-6.699731610870332
279,89283099c37ffff,-8.479041983870331,-8.479041983870331
280,89283099ca7ffff,-8.795708665370332,-8.795708665370332
281,892830810c7ffff,0.4531387754697107,0.4531387754697107
282,892830810cbffff,-1.2058025458703323,-1.2058025458703323
283,8928308130bffff,-3.5828881568703324,-3.5828881568703324
284,8928309814fffff,-7.579041940870332,-7.579041940870332
285,89283098227ffff,-7.279003335731703,-7.279003335731703
286,8928309838fffff,-6.079041869870332,-6.079041869870332
287,892830983a3ffff,-6.079041869870332,-6.079041869870332
288,89283098e43ffff,-2.0790419898703316,-2.0790419898703316
289,89283098e4fffff,1.7542915201296676,1.7542915201296676
290,89283099ddbffff,-8.064116629870332,-8.064116629870332
