h3id_9,BC,NO,NO$_2$
89283098107ffff,0.48927444,10.211531,11.466227
89283098193ffff,0.424717,10.182564,10.215138
89283081463ffff,0.3945418,4.9167156,10.662144
89283099c87ffff,0.31098866,11.299729,12.837116
89283081217ffff,0.91283584,25.335873,21.653982
892830983b3ffff,0.3607044,4.5278616,8.348558
8928309856fffff,0.33178613,5.683283,11.442362
892830811bbffff,1.3674521,12.113424,16.652473
89283099cabffff,0.28674442,2.2290258,7.9288673
89283081007ffff,0.65099967,10.646089,17.66062
89283081103ffff,0.9698992,15.880551,21.34652
8928308111bffff,0.3939007,5.0827465,11.474924
89283098343ffff,0.28908604,7.789323,9.201041
89283098393ffff,0.39837152,6.653938,11.396164
8928308131bffff,0.34511942,6.0804415,10.461169
89283098223ffff,0.24257004,3.672665,8.629418
89283099dc3ffff,0.3472306,3.681486,8.975083
892830813b3ffff,0.39804608,5.1655173,12.676708
892830810dbffff,0.37789494,8.762332,14.274856
89283098397ffff,0.38341966,5.8234124,7.42172
892830812b3ffff,0.39334998,6.70622,11.723244
89283081307ffff,0.39632922,7.6359053,13.9875345
892830983c7ffff,0.27937722,5.4016943,9.238462
89283081563ffff,1.054672,26.57605,24.270153
89283099d4bffff,0.75683755,35.471405,24.432404
89283098ec3ffff,0.4663154,3.8686006,9.494782
892830810cfffff,0.41388175,7.9468718,15.196839
892830810d3ffff,0.46270064,8.382561,15.697514
89283081233ffff,0.77408814,18.023167,19.71835
8928308154bffff,0.5678678,7.1770477,14.518129
89283099cafffff,0.30927235,4.94876,8.341453
8928308157bffff,1.1222448,27.750679,25.906223
8928309802fffff,0.43394163,6.162698,10.237448
89283099dd3ffff,0.38849163,7.7040315,11.037947
89283081017ffff,0.44483542,8.0392275,15.511497
89283098173ffff,0.4677757,4.727685,10.259831
8928308108fffff,0.43505478,6.704742,14.769676
8928309822bffff,0.39376011,14.147263,13.143837
892830812b7ffff,0.47951552,8.577512,13.993587
89283081313ffff,0.59877825,12.928178,17.630095
89283099c2fffff,0.48180312,16.827414,15.297681
89283099c8fffff,0.6560227,19.321848,14.641583
8928308156bffff,0.74306387,18.143518,21.365583
89283081047ffff,0.55016065,11.774192,17.392784
89283098e13ffff,0.5027452,8.964344,11.687822
892830813c7ffff,0.51517105,10.2829275,16.925203
8928308156fffff,0.47340038,8.145106,13.990926
89283099d17ffff,0.33179504,6.5528746,8.844437
89283099d73ffff,0.31460667,5.2581997,8.953323
89283098383ffff,0.36808214,4.8654547,6.4923906
89283099897ffff,0.6965041,32.69807,23.362911
89283098147ffff,0.37607044,5.921652,8.731744
89283099c93ffff,0.64558935,19.922096,17.573694
89283099dcfffff,0.18730503,3.2702992,5.661133
8928308102fffff,0.43794256,5.460409,12.735374
89283081147ffff,0.47365218,5.621689,13.553698
8928309835bffff,0.26082897,5.224274,9.014186
89283099d5bffff,0.36262065,5.691396,8.718271
8928308101bffff,0.47573656,11.4482765,17.454496
892830810b3ffff,0.81049,19.06217,21.982813
892830810d7ffff,0.4844999,11.599408,16.321617
89283098363ffff,0.29010195,4.785256,8.518045
89283081237ffff,1.1706853,21.262575,18.456724
892830813cfffff,0.28939018,12.890035,16.298046
892830983afffff,0.26542425,3.6753483,6.3572564
